Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Policy,Image Src,Image Alt Text,Status
rubber-plant-burgundy,Burgundy Rubber Plant,"<p>Ficus elastica 'Burgundy' — leaves the color of black cherry, each one emerging from a crimson sheath like a secret being revealed. A Victorian conservatory staple for the modern loft.</p><p><strong>Why we love it:</strong> That moment when a new leaf unfurls from its bright red sheath. Never gets old. The deeper the burgundy, the happier the plant.</p>",Botanica,Indoor Tree,"care-medium, light-bright, pet-toxic, floor-plant, tall-upward, water-weekly, color-green, color-purple, color-black, size-floor",TRUE,Size,8"" Pot,PLANT-RUB-08,4800,6000,continue,https://images.unsplash.com/photo-1606904591826-4d4f0f4e4f7d?w=800,Burgundy Rubber Plant with dark leaves,active
calathea-orbifolia,Calathea Orbifolia,"<p>The diva of the Calathea world. Silver-green stripes radiate across round leaves the size of salad plates, which fold upward at night like praying hands. Absolutely stunning, absolutely demanding.</p><p><strong>Why we love it:</strong> When you nail the humidity and distilled-water routine, the foliage payoff is unmatched. A living piece of art.</p>",Botanica,Indoor Plant,"care-expert, light-medium, pet-safe, humidity-loving, shelf-plant, tabletop-plant, bushy, water-weekly, rare, color-silver, color-green, color-patterns, size-desk",TRUE,Size,6"" Pot,PLANT-CAL-06,4200,5200,continue,https://images.unsplash.com/photo-1622663319041-4b0b0f0e0f80?w=800,Calathea Orbifolia with silver-striped leaves,active
chinese-money-plant,Chinese Money Plant,"<p>Pilea peperomioides — pancake-flat circular leaves on delicate stems, a symbol of prosperity and friendship. Passed from friend to friend for generations, it's the original social-media plant.</p><p><strong>Why we love it:</strong> Constantly produces pups (baby plants) around its base. Pop them out, pot them up, and you have gifts for everyone you know.</p>",Botanica,Indoor Plant,"care-easy, light-medium, pet-safe, tabletop-plant, windowsill-plant, bushy, water-weekly, beginner, fast-growing, color-green, size-mini",TRUE,Size,4"" Pot,PLANT-CMP-04,2200,2800,continue,https://images.unsplash.com/photo-1614594609220-07929c8e2f0d?w=800,Chinese Money Plant on windowsill,active
jade-plant,Jade Plant,"<p>Crassula ovata — thick, fleshy oval leaves on a bonsai-like trunk. A symbol of good luck and prosperity, this succulent can live for decades, passed down through generations.</p><p><strong>Why we love it:</strong> With enough light, the leaf edges blush a soft red. It thrives on neglect and looks better with age — the definition of a legacy plant.</p>",Botanica,Succulent,"care-easy, light-bright, pet-toxic, tabletop-plant, windowsill-plant, bushy, water-3weeks, beginner, color-green, color-red, size-mini",TRUE,Size,4"" Pot,PLANT-JAD-04,1800,2200,continue,https://images.unsplash.com/photo-1597306227030-bb0830b178d0?w=800,Jade Plant with thick glossy leaves,active
string-of-pearls,String of Pearls,"<p>Senecio rowleyanus — perfectly spherical green beads cascade from a hanging pot like a living beaded curtain. The most photogenic trailing plant in existence.</p><p><strong>Why we love it:</strong> Those perfect little peas. Each one is a modified leaf storing water — nature's engineering at its most elegant. Drape it high and watch it flow.</p>",Botanica,Succulent,"care-medium, light-bright, pet-toxic, hanging-plant, vine-trailing, water-biweekly, color-green, size-mini",TRUE,Size,4"" Hanging,PLANT-SOP-04,2600,3200,continue,https://images.unsplash.com/photo-1596808883170-8baf3d8b4c6c?w=800,String of Pearls cascading from hanging pot,active
anthurium-red,Anthurium Red Flamingo,"<p>Anthurium andraeanum — glossy heart-shaped red spathes with a curling yellow spadix, hovering above dark green leaves. Blooms last for months, making it the longest-flowering houseplant.</p><p><strong>Why we love it:</strong> Those waxy red blooms look almost fake — people will touch them to check. Each one lasts 8-12 weeks. A perpetual valentine.</p>",Botanica,Flowering Plant,"care-medium, light-medium, pet-toxic, tabletop-plant, shelf-plant, bushy, water-weekly, flowering, color-red, color-green, size-desk",TRUE,Size,5"" Pot,PLANT-ANR-05,3800,4500,continue,https://images.unsplash.com/photo-1603980656493-e3aa8f4a631a?w=800,Red Anthurium with glossy heart-shaped bloom,active
hoya-krimson-queen,Hoya Krimson Queen,"<p>Hoya carnosa 'Krimson Queen' — thick waxy leaves edged in cream and pink, growing on long twining vines. Produces clusters of star-shaped pink flowers that smell like chocolate at night.</p><p><strong>Why we love it:</strong> The pink new growth, the porcelain-like flowers, the chocolate fragrance. This plant is a sensory experience wrapped in a trailing vine.</p>",Botanica,Hanging Plant,"care-easy, light-bright, pet-safe, hanging-plant, vine-trailing, water-biweekly, flowering, rare, color-green, color-pink, color-white, size-mini",TRUE,Size,4"" Hanging,PLANT-HKQ-04,3400,4200,continue,https://images.unsplash.com/photo-1615998487295-14e93e3c6ea1?w=800,Hoya Krimson Queen with pink-variegated leaves,active
dracaena-song-of-india,Dracaena Song of India,"<p>Dracaena reflexa 'Song of India' — narrow, lance-shaped leaves striped in chartreuse and cream, radiating from sculptural stems. A living sculpture that thrives on filtered light.</p><p><strong>Why we love it:</strong> The architectural silhouette. Each stem is a vertical accent, and the variegation catches light like stained glass. Low-maintenance elegance.</p>",Botanica,Indoor Plant,"care-easy, light-medium, pet-toxic, floor-plant, shelf-plant, tall-upward, water-biweekly, beginner, color-green, color-variegation, color-white, size-floor",TRUE,Size,8"" Pot,PLANT-DSI-08,5500,6800,continue,https://images.unsplash.com/photo-1599033280809-679be39aa7e7?w=800,Dracaena Song of India with variegated leaves,active
philodendron-pink-princess,Philodendron Pink Princess,"<p>The crown jewel of philodendron collecting. Deep burgundy-black leaves splashed with bubblegum pink variegation — no two leaves the same, every new unfurl a lottery ticket.</p><p><strong>Why we love it:</strong> The pink. That impossible, vivid, Barbie-dream-house pink, emerging from leaves so dark they're almost black. The most Instagrammable plant alive.</p>",Botanica,Indoor Plant,"care-medium, light-bright, pet-toxic, tabletop-plant, shelf-plant, tall-upward, water-weekly, rare, variegated, color-pink, color-purple, color-black, size-desk",TRUE,Size,4"" Pot,PLANT-PPP-04,6500,8500,continue,https://images.unsplash.com/photo-1615937724784-7f5d591402d8?w=800,Philodendron Pink Princess with pink variegation,active
aloe-vera,Aloe Vera,"<p>Aloe barbadensis miller — the original medicinal plant, with fleshy serrated leaves filled with cooling gel. A kitchen windowsill essential for burns, cuts, and skincare routines.</p><p><strong>Why we love it:</strong> Snap off a leaf, squeeze out the gel, and soothe a sunburn instantly. Beauty, utility, and nearly impossible to kill — the original multitasker.</p>",Botanica,Succulent,"care-easy, light-bright, pet-toxic, tabletop-plant, windowsill-plant, upright-rosette, water-3weeks, beginner, color-green, size-mini",TRUE,Size,4"" Pot,PLANT-ALV-04,1600,2000,continue,https://images.unsplash.com/photo-1596547609652-8cf1290ba3f3?w=800,Aloe Vera plant in terracotta pot,active
monstera-thai-constellation,Monstera Thai Constellation,"<p>The holy grail of Monstera collecting. Genetically stable cream-and-green variegation creates a constellation map across each leaf — a living piece of botanical art that holds its value.</p><p><strong>Why we love it:</strong> Tissue-cultured for stable variegation — no reverting to solid green. Each leaf is a permanent celestial map, and the plant appreciates in value as it grows.</p>",Botanica,Indoor Plant,"care-expert, light-bright, pet-toxic, floor-plant, tall-upward, water-weekly, rare, variegated, color-green, color-white, color-variegation, size-floor",TRUE,Size,4"" Pot,PLANT-MTC-04,12000,15000,continue,https://images.unsplash.com/photo-1632598478817-9c0d8e29f1e0?w=800,Monstera Thai Constellation with cream variegation,active
boston-fern,Boston Fern,"<p>Nephrolepis exaltata — the classic Victorian parlor fern with cascading feather-like fronds. A humidity-loving shower plant that transforms bathrooms into tropical retreats.</p><p><strong>Why we love it:</strong> That lush, feathery volume. Hang it in a bathroom with a window and watch it explode into a fountain of green. The ultimate shower plant.</p>",Botanica,Fern,"care-medium, light-medium, pet-safe, humidity-loving, hanging-plant, bushy, water-weekly, air-purifying, color-green, size-desk",TRUE,Size,6"" Hanging,PLANT-BFE-06,3200,4000,continue,https://images.unsplash.com/photo-1599585957314-62501e23e631?w=800,Boston Fern with cascading fronds,active
staghorn-fern,Staghorn Fern,"<p>Platycerium bifurcatum — antler-shaped fronds that mount on wooden boards like living wall art. An epiphyte that grows on trees in nature, needing no soil — just humidity and bright indirect light.</p><p><strong>Why we love it:</strong> Mount it on a board, hang it on the wall. It's a living sculpture that breaks every rule about what a houseplant should look like. Conversation starter guaranteed.</p>",Botanica,Fern,"care-medium, light-medium, pet-safe, humidity-loving, hanging-plant, bushy, water-weekly, rare, color-green, color-silver, size-desk",TRUE,Size,6"" Mounted,PLANT-STF-06,4500,5500,continue,https://images.unsplash.com/photo-1609624778680-5b5d49b5c3d3?w=800,Staghorn Fern mounted on wooden board,active
fishbone-cactus,Fishbone Cactus,"<p>Epiphyllum anguliger — zigzag leaves that look like fishbones, cascading from a hanging pot. Produces enormous fragrant white flowers that bloom for a single magical night.</p><p><strong>Why we love it:</strong> The silhouette. Those cartoonish zigzag leaves are pure whimsy. And when it blooms — a hand-sized white flower that fills the room with vanilla fragrance at midnight.</p>",Botanica,Cactus,"care-easy, light-medium, pet-safe, hanging-plant, vine-trailing, water-biweekly, flowering, rare, color-green, size-mini",TRUE,Size,4"" Hanging,PLANT-FBC-04,2800,3500,continue,https://images.unsplash.com/photo-1611427896132-bfc2122aeaa3?w=800,Fishbone Cactus with zigzag leaves,active
